HW Outlet,HW Inlet,CW Inlet,CW Outlet,HW Flow,CW Flow
28.9,46.4,18.7,30.3,100,150
25.3,46.5,18,25.2,100,300
23.4,46.6,17.9,23.2,100,450
22.1,46.8,17.3,21.7,100,600
21.5,46.7,17.3,20.8,100,750
21,46.7,17.1,20.2,100,900
20.5,46.7,16.9,19.7,100,1050
20.2,46.7,16.9,19.3,100,1220
35.4,48.7,17.5,34.3,200,150
30.2,48.5,17.2,29.1,200,300
27.3,48.4,17.1,26.3,200,450
25.8,48.4,17.1,24.7,200,600
24.5,48.2,17,23.4,200,750
23.8,48.2,17,22.5,200,900
22.9,48,16.9,21.7,200,1050
22.6,48.4,16.9,21.3,200,1220
39.1,49.1,17.7,37.1,300,150
34.8,49.5,17.5,32.3,300,300
31.4,49.3,17.4,29.4,300,450
29.5,49.4,17.3,27.4,300,600
28,49.5,17.3,26,300,750
26.7,49.4,17.1,24.8,300,900
25.7,49.4,17,23.8,300,1050
41.4,50,17.4,38.4,400,150
37.3,50.2,17.3,33.9,400,300
34.1,50,17.1,31,400,450
31.9,50,17.1,28.8,400,600
30.1,49.9,17,27.3,400,750
28.7,49.6,16.9,26.1,400,900
27.8,49.7,16.9,25.2,400,1050
43.3,50.2,17.7,39.8,500,150
39,50.1,17.4,35.1,500,300
36.3,50.1,17.3,32.5,500,450
34.5,50.4,17.3,30.7,500,600
32.5,50.4,17.3,29.1,500,750
31.2,50.5,17.2,27.8,500,900
29.8,50.4,17,26.7,500,1050
45.3,51,17.4,41.2,640,150
41.7,51.1,17.3,36.8,640,300
38.7,50.8,17.1,33.9,640,450
37,51.1,17.1,32.2,640,600
35.1,51.1,17.1,30.7,640,750
33.3,50.6,16.9,29.1,640,900
32.6,50.8,17.1,28.3,640,1050
